一	nhất
丁	đinh
七	thất
万	vạn
丈	trượng
三	tam
上	thượng
下	hạ
不	bất
仃	đinh
仄	trắc
仆	phó
仇	cừu
今	kim
侚	tuẫn
供	cung
与	dữ
丐	cái
丑	sửu
且	thả
丕	phi
世	thế
丘	khâu
丙	bính
丞	thừa
丟	đâu
両	lạng
丢	đâu
丣	dậu
两	lạng
並	tịnh
丨	cổn
个	cá
丫	nha
中	trung
丯	phong
丱	quán
串	xuyến
丶	chủ
丸	hoàn
丹	đan
主	chủ
丿	phiệt
乀	phật
乂	nghệ
乃	nãi
久	cửu
乆	cửu
之	chi
乍	sạ
乎	hồ
乏	phạp
乖	quai
乘	thừa
乙	ất
九	cửu
仝	đồng
仞	nhận
六	lục
乞	khất
也	dã
乩	kê
乳	nhũ
乾	kiền
亂	loạn
亅	quyết
了	liễu
予	dư
事	sự
亭	đình
亮	lượng
亯	hanh
亳	bạc
亶	đản
亹	vỉ
人	nhân
倏	thúc
們	môn
倒	đảo
二	nhị
亍	xúc
于	vu
云	vân
互	hỗ
五	ngũ
井	tỉnh
亘	tuyên
亙	cắng
些	ta
亞	á
亟	cức
亠	đầu
亡	vong
亢	kháng
交	giao
亥	hợi
亦	diệc
亨	hanh
享	hưởng
京	kinh
什	thập
仁	nhân
介	giới
仌	băng
仍	nhưng
从	tòng
仔	tử
仕	sĩ
他	tha
仗	trượng
付	phó
仙	tiên
仟	thiên
仡	ngật
代	đại
令	lệnh
以	dĩ
仰	ngưỡng
仲	trọng
仳	tỉ
仵	ngỗ
件	kiện
价	giới
任	nhâm
份	phân
仿	phảng
企	xí
伃	dư
伉	kháng
伊	y
伋	cấp
伍	ngũ
伎	kĩ
伏	phục
伐	phạt
休	hưu
伕	phu
伙	hoả
伯	bá
估	cổ
伱	nễ
伴	bạn
伶	linh
伸	thân
伺	tí
伻	bình
似	tự
伽	già
佃	điền
但	đãn
佇	trữ
佈	bố
佋	thiệu
位	vị
低	đê
住	trụ
佐	tá
佑	hữu
体	thể
佔	chiêm
何	hà
佗	đà
佘	xà
余	dư
佚	dật
佛	phật
作	tác
佞	nịnh
