日 nhật
曰 viết
昌 xương
昍 昍
晶 tinh
暘 dương
晹 晹
暍 yết
曝 bộc
暻 暻
明 minh
暝 minh
曖 ái
盟 minh
鷳 nhàn
猒 猒
曌 chiếu
暉 huy
暈 vựng
暖 noãn
勗 úc
暩 暩
冒 mạo
晛 hiện
暡 暡
晜 côn
昐 昐
杲 cảo
鷴 nhàn
晰 tích
時 thì
暐 vĩ
暕 暕
鄤 鄤
炅 炅
炚 炚
曭 曭
暽 暽
晱 晱
影 ảnh
顯 hiển
顥 hạo
晃 hoảng
歞 歞
曀 ê
時 thì
曉 hiểu
晌 thưởng
晑 晑
眉 mi
昄 昄
曛 huân
昴 mão
剔 dịch
昕 hân
暀 暀
暰 暰
晷 quỹ
星 tinh
昳 điệt
昈 昈
曒 曒
昇 thăng
昂 ngang
晲 晲
晷 quỹ
晙 晙
晟 thịnh
晡 bô
既 kí
昹 昹
即 tức
曠 khoáng
早 tảo
暔 暔
昧 muội
暷 暷
暑 thử
暄 huyên
晥 晥
晼 uyển
晏 yến
旲 旲
暸 暸
晞 hi
昦 昦
晻 yểm
晇 晇
旯 旯
映 ánh
堲 堲
昲 昲
晁 triều
曊 曊
旦 đán
晅 晅
曘 曘
暊 暊
曤 曤
曇 đàm
晒 sái
旴 húc
旺 vượng
鴠 鴠
毾 毾
戥 đẳng
晊 chí
旱 hạn
旰 cán
昊 hạo
昮 昮
晸 晸
曬 sái
晤 ngộ
晨 thần
昃 trắc
昺 bỉnh
昜 dương
曞 曞
量 lượng
曋 曋
是 thị
門 môn
間 gian
閶 xương
闒 tháp
晚 vãn
冕 miện
閺 văn
閒 nhàn
閿 văn
閻 diêm
闅 闅
闃 khuých
閱 duyệt
閑 nhàn
閉 bế
闈 vi
闌 lan
闊 khoát
焛 焛
闛 闛
闣 闣
閨 khuê
闔 hạp
昅 昅
閣 các
閏 nhuận
閽 hôn
閐 閐
闑 niết
闃 khuých
閰 閰
閬 lãng
閾 quắc
閞 閞
闐 điền
闍 đồ
閎 hoành
閹 yêm
闠 hội
閩 mân
閂 soan
閛 phanh
閏 nhuận
閈 hãn
闞 khám
閆 閆
閜 閜
開 khai
闉 nhân
閻 diêm
閮 閮
闋 khuyết
閃 thiểm
欥 欥
閵 閵
閥 phiệt
暌 khuê
閤 cáp
闟 闟
悶 muộn
閟 bí
闚 khuy
問 vấn
閭 lư
闡 xiển
闆 bản
聞 văn
闖 sấm
闢 tịch
鬨 hống
闀 闀
闕 khuyết
闓 khải
關 quan
閫 khổn
閘 áp
闤 hoàn
闥 thát
閌 閌
閍 閍
鬥 đấu
閔 mẫn
鬧 náo
誾 ngân
閼 át
闇 ám
閡 ngại
韙 vĩ
尟 tiển
鶗 đề
昤 昤
昑 昑
題 đề
匙 thi
昨 tạc
晦 hối
易 dịch
昒 昒
